id,tag,img_path
134,h3,..\..\..\data\cropped-by-semantic-tag\134.png
135,h3,..\..\..\data\cropped-by-semantic-tag\135.png
136,h3,..\..\..\data\cropped-by-semantic-tag\136.png
137,footer,..\..\..\data\cropped-by-semantic-tag\137.png
138,header,..\..\..\data\cropped-by-semantic-tag\138.png
139,h1,..\..\..\data\cropped-by-semantic-tag\139.png
140,button,..\..\..\data\cropped-by-semantic-tag\140.png
141,header,..\..\..\data\cropped-by-semantic-tag\141.png
142,h1,..\..\..\data\cropped-by-semantic-tag\142.png
143,h2,..\..\..\data\cropped-by-semantic-tag\143.png
144,h2,..\..\..\data\cropped-by-semantic-tag\144.png
145,h2,..\..\..\data\cropped-by-semantic-tag\145.png
146,h2,..\..\..\data\cropped-by-semantic-tag\146.png
147,h2,..\..\..\data\cropped-by-semantic-tag\147.png
148,h2,..\..\..\data\cropped-by-semantic-tag\148.png
149,footer,..\..\..\data\cropped-by-semantic-tag\149.png
150,h2,..\..\..\data\cropped-by-semantic-tag\150.png
151,a,..\..\..\data\cropped-by-semantic-tag\151.png
152,h2,..\..\..\data\cropped-by-semantic-tag\152.png
153,h2,..\..\..\data\cropped-by-semantic-tag\153.png
154,input,..\..\..\data\cropped-by-semantic-tag\154.png
155,input,..\..\..\data\cropped-by-semantic-tag\155.png
156,h2,..\..\..\data\cropped-by-semantic-tag\156.png
157,header,..\..\..\data\cropped-by-semantic-tag\157.png
158,form,..\..\..\data\cropped-by-semantic-tag\158.png
159,input,..\..\..\data\cropped-by-semantic-tag\159.png
160,button,..\..\..\data\cropped-by-semantic-tag\160.png
161,button,..\..\..\data\cropped-by-semantic-tag\161.png
162,button,..\..\..\data\cropped-by-semantic-tag\162.png
163,a,..\..\..\data\cropped-by-semantic-tag\163.png
164,button,..\..\..\data\cropped-by-semantic-tag\164.png
165,button,..\..\..\data\cropped-by-semantic-tag\165.png
166,a,..\..\..\data\cropped-by-semantic-tag\166.png
167,button,..\..\..\data\cropped-by-semantic-tag\167.png
168,button,..\..\..\data\cropped-by-semantic-tag\168.png
169,a,..\..\..\data\cropped-by-semantic-tag\169.png
170,a,..\..\..\data\cropped-by-semantic-tag\170.png
171,a,..\..\..\data\cropped-by-semantic-tag\171.png
172,a,..\..\..\data\cropped-by-semantic-tag\172.png
173,button,..\..\..\data\cropped-by-semantic-tag\173.png
174,a,..\..\..\data\cropped-by-semantic-tag\174.png
175,footer,..\..\..\data\cropped-by-semantic-tag\175.png
176,h1,..\..\..\data\cropped-by-semantic-tag\176.png
177,header,..\..\..\data\cropped-by-semantic-tag\177.png
178,form,..\..\..\data\cropped-by-semantic-tag\178.png
179,input,..\..\..\data\cropped-by-semantic-tag\179.png
180,h3,..\..\..\data\cropped-by-semantic-tag\180.png
181,form,..\..\..\data\cropped-by-semantic-tag\181.png
182,input,..\..\..\data\cropped-by-semantic-tag\182.png
183,button,..\..\..\data\cropped-by-semantic-tag\183.png
184,footer,..\..\..\data\cropped-by-semantic-tag\184.png
185,button,..\..\..\data\cropped-by-semantic-tag\185.png
186,button,..\..\..\data\cropped-by-semantic-tag\186.png
187,a,..\..\..\data\cropped-by-semantic-tag\187.png
188,button,..\..\..\data\cropped-by-semantic-tag\188.png
189,h2,..\..\..\data\cropped-by-semantic-tag\189.png
190,h4,..\..\..\data\cropped-by-semantic-tag\190.png
191,h4,..\..\..\data\cropped-by-semantic-tag\191.png
192,h4,..\..\..\data\cropped-by-semantic-tag\192.png
193,header,..\..\..\data\cropped-by-semantic-tag\193.png
194,footer,..\..\..\data\cropped-by-semantic-tag\194.png
195,header,..\..\..\data\cropped-by-semantic-tag\195.png
196,h1,..\..\..\data\cropped-by-semantic-tag\196.png
197,a,..\..\..\data\cropped-by-semantic-tag\197.png
198,button,..\..\..\data\cropped-by-semantic-tag\198.png
199,button,..\..\..\data\cropped-by-semantic-tag\199.png
200,button,..\..\..\data\cropped-by-semantic-tag\200.png
201,form,..\..\..\data\cropped-by-semantic-tag\201.png
202,input,..\..\..\data\cropped-by-semantic-tag\202.png
203,h1,..\..\..\data\cropped-by-semantic-tag\203.png
204,h2,..\..\..\data\cropped-by-semantic-tag\204.png
205,h2,..\..\..\data\cropped-by-semantic-tag\205.png
206,h2,..\..\..\data\cropped-by-semantic-tag\206.png
207,h3,..\..\..\data\cropped-by-semantic-tag\207.png
208,h3,..\..\..\data\cropped-by-semantic-tag\208.png
209,h3,..\..\..\data\cropped-by-semantic-tag\209.png
210,h2,..\..\..\data\cropped-by-semantic-tag\210.png
211,h2,..\..\..\data\cropped-by-semantic-tag\211.png
212,h2,..\..\..\data\cropped-by-semantic-tag\212.png
213,h4,..\..\..\data\cropped-by-semantic-tag\213.png
214,h4,..\..\..\data\cropped-by-semantic-tag\214.png
215,h4,..\..\..\data\cropped-by-semantic-tag\215.png
216,h4,..\..\..\data\cropped-by-semantic-tag\216.png
217,h1,..\..\..\data\cropped-by-semantic-tag\217.png
218,h1,..\..\..\data\cropped-by-semantic-tag\218.png
219,button,..\..\..\data\cropped-by-semantic-tag\219.png
220,footer,..\..\..\data\cropped-by-semantic-tag\220.png
221,a,..\..\..\data\cropped-by-semantic-tag\221.png
222,a,..\..\..\data\cropped-by-semantic-tag\222.png
223,h3,..\..\..\data\cropped-by-semantic-tag\223.png
224,h1,..\..\..\data\cropped-by-semantic-tag\224.png
225,h3,..\..\..\data\cropped-by-semantic-tag\225.png
226,a,..\..\..\data\cropped-by-semantic-tag\226.png
227,a,..\..\..\data\cropped-by-semantic-tag\227.png
228,a,..\..\..\data\cropped-by-semantic-tag\228.png
229,h4,..\..\..\data\cropped-by-semantic-tag\229.png
230,a,..\..\..\data\cropped-by-semantic-tag\230.png
231,button,..\..\..\data\cropped-by-semantic-tag\231.png
232,form,..\..\..\data\cropped-by-semantic-tag\232.png
233,input,..\..\..\data\cropped-by-semantic-tag\233.png
234,input,..\..\..\data\cropped-by-semantic-tag\234.png
235,button,..\..\..\data\cropped-by-semantic-tag\235.png
236,h2,..\..\..\data\cropped-by-semantic-tag\236.png
237,h2,..\..\..\data\cropped-by-semantic-tag\237.png
238,a,..\..\..\data\cropped-by-semantic-tag\238.png
239,h3,..\..\..\data\cropped-by-semantic-tag\239.png
240,h3,..\..\..\data\cropped-by-semantic-tag\240.png
241,h3,..\..\..\data\cropped-by-semantic-tag\241.png
242,h3,..\..\..\data\cropped-by-semantic-tag\242.png
243,h3,..\..\..\data\cropped-by-semantic-tag\243.png
244,h3,..\..\..\data\cropped-by-semantic-tag\244.png
245,h3,..\..\..\data\cropped-by-semantic-tag\245.png
246,h3,..\..\..\data\cropped-by-semantic-tag\246.png
247,h3,..\..\..\data\cropped-by-semantic-tag\247.png
248,h3,..\..\..\data\cropped-by-semantic-tag\248.png
249,h3,..\..\..\data\cropped-by-semantic-tag\249.png
250,h3,..\..\..\data\cropped-by-semantic-tag\250.png
251,a,..\..\..\data\cropped-by-semantic-tag\251.png
252,a,..\..\..\data\cropped-by-semantic-tag\252.png
253,a,..\..\..\data\cropped-by-semantic-tag\253.png
254,h2,..\..\..\data\cropped-by-semantic-tag\254.png
255,h2,..\..\..\data\cropped-by-semantic-tag\255.png
256,h2,..\..\..\data\cropped-by-semantic-tag\256.png
257,h2,..\..\..\data\cropped-by-semantic-tag\257.png
258,h2,..\..\..\data\cropped-by-semantic-tag\258.png
259,h1,..\..\..\data\cropped-by-semantic-tag\259.png
260,h2,..\..\..\data\cropped-by-semantic-tag\260.png
261,input,..\..\..\data\cropped-by-semantic-tag\261.png
262,input,..\..\..\data\cropped-by-semantic-tag\262.png
263,input,..\..\..\data\cropped-by-semantic-tag\263.png
264,input,..\..\..\data\cropped-by-semantic-tag\264.png
265,header,..\..\..\data\cropped-by-semantic-tag\265.png
266,a,..\..\..\data\cropped-by-semantic-tag\266.png
267,form,..\..\..\data\cropped-by-semantic-tag\267.png
268,input,..\..\..\data\cropped-by-semantic-tag\268.png
269,button,..\..\..\data\cropped-by-semantic-tag\269.png
270,h1,..\..\..\data\cropped-by-semantic-tag\270.png
271,a,..\..\..\data\cropped-by-semantic-tag\271.png
272,button,..\..\..\data\cropped-by-semantic-tag\272.png
273,a,..\..\..\data\cropped-by-semantic-tag\273.png
274,h2,..\..\..\data\cropped-by-semantic-tag\274.png
275,h2,..\..\..\data\cropped-by-semantic-tag\275.png
276,h2,..\..\..\data\cropped-by-semantic-tag\276.png
277,a,..\..\..\data\cropped-by-semantic-tag\277.png
278,a,..\..\..\data\cropped-by-semantic-tag\278.png
279,h2,..\..\..\data\cropped-by-semantic-tag\279.png
280,h2,..\..\..\data\cropped-by-semantic-tag\280.png
281,button,..\..\..\data\cropped-by-semantic-tag\281.png
282,a,..\..\..\data\cropped-by-semantic-tag\282.png
283,header,..\..\..\data\cropped-by-semantic-tag\283.png
284,header,..\..\..\data\cropped-by-semantic-tag\284.png
285,button,..\..\..\data\cropped-by-semantic-tag\285.png
286,form,..\..\..\data\cropped-by-semantic-tag\286.png
287,input,..\..\..\data\cropped-by-semantic-tag\287.png
288,button,..\..\..\data\cropped-by-semantic-tag\288.png
289,h3,..\..\..\data\cropped-by-semantic-tag\289.png
290,h3,..\..\..\data\cropped-by-semantic-tag\290.png
291,h3,..\..\..\data\cropped-by-semantic-tag\291.png
292,form,..\..\..\data\cropped-by-semantic-tag\292.png
293,input,..\..\..\data\cropped-by-semantic-tag\293.png
294,input,..\..\..\data\cropped-by-semantic-tag\294.png
295,h2,..\..\..\data\cropped-by-semantic-tag\295.png
296,h3,..\..\..\data\cropped-by-semantic-tag\296.png
297,h3,..\..\..\data\cropped-by-semantic-tag\297.png
298,h3,..\..\..\data\cropped-by-semantic-tag\298.png
299,h3,..\..\..\data\cropped-by-semantic-tag\299.png
300,h2,..\..\..\data\cropped-by-semantic-tag\300.png
301,a,..\..\..\data\cropped-by-semantic-tag\301.png
302,button,..\..\..\data\cropped-by-semantic-tag\302.png
303,button,..\..\..\data\cropped-by-semantic-tag\303.png
304,button,..\..\..\data\cropped-by-semantic-tag\304.png
305,button,..\..\..\data\cropped-by-semantic-tag\305.png
306,h2,..\..\..\data\cropped-by-semantic-tag\306.png
307,h3,..\..\..\data\cropped-by-semantic-tag\307.png
308,h3,..\..\..\data\cropped-by-semantic-tag\308.png
309,h3,..\..\..\data\cropped-by-semantic-tag\309.png
310,h3,..\..\..\data\cropped-by-semantic-tag\310.png
311,h2,..\..\..\data\cropped-by-semantic-tag\311.png
312,h2,..\..\..\data\cropped-by-semantic-tag\312.png
313,a,..\..\..\data\cropped-by-semantic-tag\313.png
314,h3,..\..\..\data\cropped-by-semantic-tag\314.png
315,h3,..\..\..\data\cropped-by-semantic-tag\315.png
316,h3,..\..\..\data\cropped-by-semantic-tag\316.png
317,h3,..\..\..\data\cropped-by-semantic-tag\317.png
318,h3,..\..\..\data\cropped-by-semantic-tag\318.png
319,a,..\..\..\data\cropped-by-semantic-tag\319.png
320,h3,..\..\..\data\cropped-by-semantic-tag\320.png
321,h3,..\..\..\data\cropped-by-semantic-tag\321.png
322,h4,..\..\..\data\cropped-by-semantic-tag\322.png
323,h4,..\..\..\data\cropped-by-semantic-tag\323.png
324,h2,..\..\..\data\cropped-by-semantic-tag\324.png
325,h2,..\..\..\data\cropped-by-semantic-tag\325.png
326,a,..\..\..\data\cropped-by-semantic-tag\326.png
327,a,..\..\..\data\cropped-by-semantic-tag\327.png
328,input,..\..\..\data\cropped-by-semantic-tag\328.png
329,input,..\..\..\data\cropped-by-semantic-tag\329.png
330,a,..\..\..\data\cropped-by-semantic-tag\330.png
331,a,..\..\..\data\cropped-by-semantic-tag\331.png
332,header,..\..\..\data\cropped-by-semantic-tag\332.png
333,h1,..\..\..\data\cropped-by-semantic-tag\333.png
334,a,..\..\..\data\cropped-by-semantic-tag\334.png
335,h1,..\..\..\data\cropped-by-semantic-tag\335.png
336,h4,..\..\..\data\cropped-by-semantic-tag\336.png
337,h4,..\..\..\data\cropped-by-semantic-tag\337.png
338,h4,..\..\..\data\cropped-by-semantic-tag\338.png
339,footer,..\..\..\data\cropped-by-semantic-tag\339.png
340,header,..\..\..\data\cropped-by-semantic-tag\340.png
341,h1,..\..\..\data\cropped-by-semantic-tag\341.png
342,h1,..\..\..\data\cropped-by-semantic-tag\342.png
343,h4,..\..\..\data\cropped-by-semantic-tag\343.png
344,h4,..\..\..\data\cropped-by-semantic-tag\344.png
345,h4,..\..\..\data\cropped-by-semantic-tag\345.png
346,footer,..\..\..\data\cropped-by-semantic-tag\346.png
347,a,..\..\..\data\cropped-by-semantic-tag\347.png
348,form,..\..\..\data\cropped-by-semantic-tag\348.png
349,input,..\..\..\data\cropped-by-semantic-tag\349.png
350,h3,..\..\..\data\cropped-by-semantic-tag\350.png
351,a,..\..\..\data\cropped-by-semantic-tag\351.png
352,h1,..\..\..\data\cropped-by-semantic-tag\352.png
353,h4,..\..\..\data\cropped-by-semantic-tag\353.png
354,h2,..\..\..\data\cropped-by-semantic-tag\354.png
355,h1,..\..\..\data\cropped-by-semantic-tag\355.png
356,h3,..\..\..\data\cropped-by-semantic-tag\356.png
357,a,..\..\..\data\cropped-by-semantic-tag\357.png
358,header,..\..\..\data\cropped-by-semantic-tag\358.png
359,header,..\..\..\data\cropped-by-semantic-tag\359.png
360,header,..\..\..\data\cropped-by-semantic-tag\360.png
361,footer,..\..\..\data\cropped-by-semantic-tag\361.png
362,a,..\..\..\data\cropped-by-semantic-tag\362.png
363,h1,..\..\..\data\cropped-by-semantic-tag\363.png
364,h2,..\..\..\data\cropped-by-semantic-tag\364.png
365,form,..\..\..\data\cropped-by-semantic-tag\365.png
366,input,..\..\..\data\cropped-by-semantic-tag\366.png
367,input,..\..\..\data\cropped-by-semantic-tag\367.png
368,a,..\..\..\data\cropped-by-semantic-tag\368.png
369,a,..\..\..\data\cropped-by-semantic-tag\369.png
370,a,..\..\..\data\cropped-by-semantic-tag\370.png
371,a,..\..\..\data\cropped-by-semantic-tag\371.png
372,a,..\..\..\data\cropped-by-semantic-tag\372.png
373,a,..\..\..\data\cropped-by-semantic-tag\373.png
374,a,..\..\..\data\cropped-by-semantic-tag\374.png
375,a,..\..\..\data\cropped-by-semantic-tag\375.png
376,a,..\..\..\data\cropped-by-semantic-tag\376.png
377,a,..\..\..\data\cropped-by-semantic-tag\377.png
378,a,..\..\..\data\cropped-by-semantic-tag\378.png
379,a,..\..\..\data\cropped-by-semantic-tag\379.png
380,a,..\..\..\data\cropped-by-semantic-tag\380.png
381,a,..\..\..\data\cropped-by-semantic-tag\381.png
382,a,..\..\..\data\cropped-by-semantic-tag\382.png
383,a,..\..\..\data\cropped-by-semantic-tag\383.png
384,a,..\..\..\data\cropped-by-semantic-tag\384.png
385,a,..\..\..\data\cropped-by-semantic-tag\385.png
386,a,..\..\..\data\cropped-by-semantic-tag\386.png
387,a,..\..\..\data\cropped-by-semantic-tag\387.png
388,a,..\..\..\data\cropped-by-semantic-tag\388.png
389,a,..\..\..\data\cropped-by-semantic-tag\389.png
390,a,..\..\..\data\cropped-by-semantic-tag\390.png
391,a,..\..\..\data\cropped-by-semantic-tag\391.png
392,a,..\..\..\data\cropped-by-semantic-tag\392.png
393,a,..\..\..\data\cropped-by-semantic-tag\393.png
394,a,..\..\..\data\cropped-by-semantic-tag\394.png
395,a,..\..\..\data\cropped-by-semantic-tag\395.png
396,a,..\..\..\data\cropped-by-semantic-tag\396.png
397,a,..\..\..\data\cropped-by-semantic-tag\397.png
398,a,..\..\..\data\cropped-by-semantic-tag\398.png
399,header,..\..\..\data\cropped-by-semantic-tag\399.png
400,h2,..\..\..\data\cropped-by-semantic-tag\400.png
401,h2,..\..\..\data\cropped-by-semantic-tag\401.png
402,button,..\..\..\data\cropped-by-semantic-tag\402.png
403,h2,..\..\..\data\cropped-by-semantic-tag\403.png
404,form,..\..\..\data\cropped-by-semantic-tag\404.png
405,input,..\..\..\data\cropped-by-semantic-tag\405.png
406,input,..\..\..\data\cropped-by-semantic-tag\406.png
407,input,..\..\..\data\cropped-by-semantic-tag\407.png
408,h1,..\..\..\data\cropped-by-semantic-tag\408.png
409,h2,..\..\..\data\cropped-by-semantic-tag\409.png
410,h2,..\..\..\data\cropped-by-semantic-tag\410.png
411,h2,..\..\..\data\cropped-by-semantic-tag\411.png
412,header,..\..\..\data\cropped-by-semantic-tag\412.png
413,input,..\..\..\data\cropped-by-semantic-tag\413.png
414,input,..\..\..\data\cropped-by-semantic-tag\414.png
415,a,..\..\..\data\cropped-by-semantic-tag\415.png
416,h1,..\..\..\data\cropped-by-semantic-tag\416.png
417,h1,..\..\..\data\cropped-by-semantic-tag\417.png
418,h1,..\..\..\data\cropped-by-semantic-tag\418.png
419,h1,..\..\..\data\cropped-by-semantic-tag\419.png
420,h1,..\..\..\data\cropped-by-semantic-tag\420.png
421,h1,..\..\..\data\cropped-by-semantic-tag\421.png
422,a,..\..\..\data\cropped-by-semantic-tag\422.png
423,h4,..\..\..\data\cropped-by-semantic-tag\423.png
424,h4,..\..\..\data\cropped-by-semantic-tag\424.png
425,h4,..\..\..\data\cropped-by-semantic-tag\425.png
426,form,..\..\..\data\cropped-by-semantic-tag\426.png
427,input,..\..\..\data\cropped-by-semantic-tag\427.png
428,a,..\..\..\data\cropped-by-semantic-tag\428.png
429,a,..\..\..\data\cropped-by-semantic-tag\429.png
430,a,..\..\..\data\cropped-by-semantic-tag\430.png
431,form,..\..\..\data\cropped-by-semantic-tag\431.png
432,input,..\..\..\data\cropped-by-semantic-tag\432.png
433,form,..\..\..\data\cropped-by-semantic-tag\433.png
434,input,..\..\..\data\cropped-by-semantic-tag\434.png
435,button,..\..\..\data\cropped-by-semantic-tag\435.png
436,h3,..\..\..\data\cropped-by-semantic-tag\436.png
437,h4,..\..\..\data\cropped-by-semantic-tag\437.png
438,button,..\..\..\data\cropped-by-semantic-tag\438.png
439,button,..\..\..\data\cropped-by-semantic-tag\439.png
440,button,..\..\..\data\cropped-by-semantic-tag\440.png
441,button,..\..\..\data\cropped-by-semantic-tag\441.png
442,button,..\..\..\data\cropped-by-semantic-tag\442.png
443,button,..\..\..\data\cropped-by-semantic-tag\443.png
444,button,..\..\..\data\cropped-by-semantic-tag\444.png
445,button,..\..\..\data\cropped-by-semantic-tag\445.png
446,button,..\..\..\data\cropped-by-semantic-tag\446.png
447,button,..\..\..\data\cropped-by-semantic-tag\447.png
448,button,..\..\..\data\cropped-by-semantic-tag\448.png
449,button,..\..\..\data\cropped-by-semantic-tag\449.png
450,button,..\..\..\data\cropped-by-semantic-tag\450.png
451,button,..\..\..\data\cropped-by-semantic-tag\451.png
452,header,..\..\..\data\cropped-by-semantic-tag\452.png
453,h2,..\..\..\data\cropped-by-semantic-tag\453.png
454,a,..\..\..\data\cropped-by-semantic-tag\454.png
455,header,..\..\..\data\cropped-by-semantic-tag\455.png
456,h2,..\..\..\data\cropped-by-semantic-tag\456.png
457,header,..\..\..\data\cropped-by-semantic-tag\457.png
458,h2,..\..\..\data\cropped-by-semantic-tag\458.png
459,h2,..\..\..\data\cropped-by-semantic-tag\459.png
460,h2,..\..\..\data\cropped-by-semantic-tag\460.png
461,h2,..\..\..\data\cropped-by-semantic-tag\461.png
462,h2,..\..\..\data\cropped-by-semantic-tag\462.png
463,a,..\..\..\data\cropped-by-semantic-tag\463.png
464,a,..\..\..\data\cropped-by-semantic-tag\464.png
465,a,..\..\..\data\cropped-by-semantic-tag\465.png
466,a,..\..\..\data\cropped-by-semantic-tag\466.png
467,input,..\..\..\data\cropped-by-semantic-tag\467.png
468,input,..\..\..\data\cropped-by-semantic-tag\468.png
469,a,..\..\..\data\cropped-by-semantic-tag\469.png
470,h2,..\..\..\data\cropped-by-semantic-tag\470.png
471,h1,..\..\..\data\cropped-by-semantic-tag\471.png
472,header,..\..\..\data\cropped-by-semantic-tag\472.png
